pub_id,publication_venue,pub_year,subject_title,written_by
12280,,1992.0,"the role of natural language in a multimodal interface . uistâ ?? 92 , 143-149",pr cohen
12281,"md ,",,"ge0id93 . software for pc compatible computers . national geodetic survey , noaa , silver spring","dg milbert , dg schultz"
12282,"submitted for publication ,",,unified management of memory and file caching using the v virtual memory system,dr cheriton
12283,"computer networks ,",,a performance study of the cambridge ring,gs blair
12284,unpublished,,superrigidity of commensurability subgroups and generalized harmonic maps,ga margulis
12285,"proceedings of acm sigir conference ,",1993.0,using wordnet tm to disambiguate word sense for text retrieval,em voorhees
12286,,,a multi-resolution relational data model,"rl read , ds fussell , a silberschatz"
12287,"at . energ ,",,ucrl-8714 ( 1959 ),a ghiorso
12288,"journal of emergency medicine ,",2001.0,lingual abscess secondary to body piercing,jc olsen
12289,"vldb ,",1978.0,mutual dependencies and some results on undecomposable relations,jm nicolas
12290,"artificial intelligence review ,",1997.0,discretisation in lazy learning algorithms,km ting
12291,"the changing carbon cycle : a global analysis ,",1986.0,changes in soil carbon storage and associated properties with disturbance and recovery,wh schlesinger
12292,"new directions for adult and continuing education ,",1991.0,getting ideas into print : some tips for practitioners .,rd fulton
12293,"to what extent ,",,does social capital determine innovation,"r landry , n amara , m lamari"
12294,"bt technology journal ,",1998.0,synchronisation in data networks,"ts brown , mj gilson , mg mason"
12295,,2001.0,role expectation process in building a desirable work culture,bp bauer
12296,"computerworld ,",,blogs bubble into business,l rosencrance
12297,,,proactive and reactive multi-dimensional histogram maintenance for selectivity estimation,"z he , bs lee , xs wang"
12298,"the academy of management journal ,",1996.0,the impact of human resource management on organizational performance : progress and prospects,"b becker , b gerhart"
12299,"proceedings of the 6th ( millenium ) vahouny conference , [ d & hellip ; ,",,the relationship of the glycemic index to lipogenesis in humans,ej parks
12300,"technical university , delft ,",,dry adhesive contact of elastomers,ar savkoor
12301,"ieee computer ,",,hypertext : a survey and introduction,j conklin
12302,"proc int conf on very large databases ,",,semantic compression and pattern extraction with fascicles,"rt ng , hv jagadish , j madar"
12303,"proc 28th ieee ismvl ,",,kameyamam . asynchronousmultiple-valued vlsi system based on dual rail currentmode differential logic,"t hanyu , t saito"
12304,"acm sigmod intl. conf . on management of data , pp ,",,optimization of large join queries : proc,"a swami , a gupta"
12305,,,ralph hebden ( editor ),"p geographer , t geography"
12306,"& hellip ; conference on very large data bases , kyoto ,",,"e. . simon. , towards dbmss for supporting new applications","s abiteboul , m scholl , g gardarin"
12307,,1987.0,untersuchungen zur rã 1/4 ckstandsproblematik in bienenhonig im rahmen der varroatosebekã $ mpfung,i kary
12308,"proceedings : biological sciences ,",1992.0,reversal of female mate choice by copying in the guppy ( poecilia reticulata ),"la dugatkin , jgj godin"
12309,"university of california , santa barbara , ca ,",,stuttering treatment rating recorder ( version 2.0 ) [ computer software ],"s fowler , r ingham"
12310,,,integer and fractional packings of hypergraphs,"v rodl , m schacht , m siggers , n tokushige"
12311,"phil . mag ,",,on collision of o-particles with light atoms iv . an anomalous effect in nitrogen,e rutherford
12312,"proc . 28th int . cosmic ray conf . ( tsukuba ) ,",,l. wiecke for the hires collaboration,k martens
12313,"unpublished manuscript ,",2000.0,the economics of advice,"t de garidel-thoron , m ottaviani"
12314,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,audio keyword generation for sports video analysis,"m xu , ly duan , lt chia , c xu"
12315,"cochrane database syst rev ,",2002.0,rofecoxib for the treatment of rheumatoid arthritis,"s garner , d fidan , r frankish , m judd , t towheed ,"
12316,"microsoft corporation ,",,browser helper objects : the browser the way you want it,d esposito
12317,,,the impact of employee communication and perceived external prestige on organizational,a smidts
12318,"lancet i ,",1980.0,mechanisms of ampicillin resistance in haemophilus influenzae from respiratory tract,"sm bell , d plowman"
12319,proc . of the 23rd vldb,,ande . teniente . materialized view selection in a multidimensional database,"e baralis , s paraboschi"
12320,"technical report , stanford university ,",,analysis of http/1 .1 on a wireless network,"s cheng , k lai , m baker"
12321,"new directions for teaching and learning ,",1996.0,emerging issues in the discussion of active learning,te sutherland
12322,,2003.0,degradable airline scheduling,"l kang , j clarke"
12323,"history of programming languages -- ii table of contents ,",1996.0,forum closing panel,rf rosin
12324,"journal of personality and social psychology ,",,the effects of involvement on responses to argument quantity and quality : central and peripheral,"re petty , jt cacioppo"
12325,"computer networks ,",2002.0,a unified constraint model for xml .,"w fan , gm kuper , j simeon"
12326,,,an activity based costing approach to systems development and implementation,"g ooi , c soh , pm lee"
12327,"sleep-new york - ,",1996.0,excitatory drive to the respiratory system in rem sleep,j orem
12328,"ieee computer ,",,education for computer professionals,dl parnas
12329,,,design and evaluation of a new mac protocol for long-distance 802.11 mesh networks,"b raman , k chebrolu"
12330,,,screening multiple endocrine neoplasia type 2a families using dna markers,"h sobol , a salvetti , c bonnardel , gm lenoir"
12331,,,"a course in combinatorics 2nd ed. , 2001","jh van lint , rm wilson"
12332,transplant,,critical evaluation of the association of acute with chronic graft rejection in kidney and heart,g opelz
12333,"technical report , stanford university ,",,the second eigenvalue of a google matrix,"mt schlosser , s kamvar"
12334,"lecture notes in computer science ,",1996.0,a tableau calculus for minimal model reasoning,i niemelae
12335,"university of zurich , zurich , switzerland ,",,measles virus entry : generation of hybrid cd46/cd4 receptors to identify cd46 domains required for,u schneider
12336,"transplantation proceedings ,",1997.0,prophylaxis against hcv recurrence after liver transplantation : effect of interferon and ribavirin,"v mazzaferro , e regalia , a pulvirenti , a tagger , s"
12337,proc . acm sigmod conf . on management of,,a rule-based view sf query optimization,jc freytag
12338,"see ref ,",,effects on solute transport and plant constituents,"fm ashton , de bayer"
12339,"acc . chem . res ,",,special issue on carbon nanotubes,rc haddon
12340,"& hellip ; technology and automation , procs . for the dedicated & hellip ; ,",,a genetic algorithm for the multiobjective solid transportation problem : a fuzzy approach,"jm cadenas , f jimenez"
12341,"sigmod record ,",,integrating contents and structure in text traversal,"r baeza-yates , g navarro"
12342,"acc . chem . res ,",,"chimie 2003 , 6 , 635-644 ; b ) hang , hc ; bertozzi , cr","f peri , l cipolla , b la ferla , f nicotra"
12343,,1984.0,"contracting out for human services : economic , political , and organizational perspectives",rh dehoog
12344,"multimedia systems ,",2004.0,multiresolution similarity search in image databases,"m heczko , a hinneburg , d keim , m wawryniuk"
12345,"proc . 1986 acm-sigmod conference on management of data , & hellip ; ,",,the design of postgres,"m stonebrslcer , l rowe"
12346,"sigmod conference ,",1994.0,distributed file organization with scalable cost/performance,"r vingralek , y breitbart , g weikum"
12347,"social studies and the young learner ,",1996.0,the universal rights of the child . key concepts for instruction with young learners .,lb bennett
12348,"proc . spie ,",2002.0,development of a liver respiratory motion simulator to investigate magnetic tracking for abdominal,"kr cleary , f banovac , e levy , d tanaka"
12349,"proceedings , international conference on management of",,0 . shmueli . event specification in an object-oriented database,"nh gehani , hv jagadish"
12350,,1984.0,geometrical methods of nonlinear analysis,"ma krasnosel ` skii , pp zabreiko"
12351,"acc . chem . res ,",,living ring [ hyphen ] opening metathesis polymerization catalyzed by well [ hyphen ] characterized,rr schrock
12352,"proceedings of the ieee ,",,the roles of fpgaâ ?? s in reprogrammable systems,s hauk
12353,,,the jobs evaluation : early findings on program impacts in three sites,"s freedman , d friedlander"
12354,,,an empirical study of on-chip parallelism,l snyder
12355,"1993 international conference on very large data bases ( & hellip ; ,",,stdlâ ?? a portable transaction definition language,"pa bernstein , p gyllstrom , t wimberg"
12356,"halstead artificial intelligence series ,",1989.0,the nu-prolog deductive database system,"k ramamohanarao , j shepherd , i balbin , g port , l"
12357,,1979.0,- autonomous categories,m barr
12358,"acm trans . database syst ,",,"a data extraction , processing and restructuring system","nc shu , bc housel , rw taylor , sp ghosh , vye lum"
12359,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,molecular dynamics studies of liquid-solid interfaces ( abstract only ),"ja nieminen , m karttunen , k kaski"
12360,,1963.0,a determination of the minimal right ideals in the enveloping algebra of a lie algebra of classical,gm nielsen
12361,at .,,taking account of the influence of the bending of vvã?r -1000 fuel assemblies on the power of fuel,gl ponomarenko
12362,"cochrane database syst rev ,",2002.0,laparoscopic colposuspension for urinary incontinence in women,"b moehrer , g ellis , m carey , pd wilson"
12363,submitted for,,view operations on objects with roles,"a albano , g antognoni , g ghelli"
12364,"genes to cells ,",1996.0,d-type cyclin expression is decreased and p 21 and p 27 cdk inhibitor expression is increased when,"t sekiguchi , e noguchi , t hayashida , t nakashima ,"
12365,"proc . acm sigcomm symposium ,",,"xerox parc , â ?? analysis and simulation of a fair queuing algorithm , â ??","a demers , s keshav , s shenker"
12366,"proceedings of the international conference on very large & hellip ; ,",2003.0,optimized query execution in large search engines with global page ordering,"x long , t suel"
12367,"economic geography ,",1999.0,continuity and change in the restless urban landscape,ek wyly
12368,,1999.0,"spirit : sequential pattern mining with regular expression constraints , the vldb conference","mn garofalakis , r rastogi , k shim"
12369,report of a research and demonstration,,the fleostomy patient,"e lenneberg , j rowbotham"
12370,"lecture notes in computer science ,",2000.0,oil in a nutshell,"d fensel , i horrocks , f van harmelen , s decker , m"
12371,proceedings of acm,,graphical fisheye views of graphs,msmh brown
12372,"proceedings of the 31st international conference on very & hellip ; ,",2005.0,tree-pattern queries on a lightweight xml processor,"mm moro , z vagena , vj tsotras"
12373,"journal of emergency medicine ,",1998.0,syncope : the forgotten sign of pulmonary embolism,"j varon , re fromm"
12374,"ms management ,",,"sexuality , multiple sclerosis , and women","fw foley , a sanders"
12375,,,structural pattern recognition,t pavlidis
12376,"proceedings of the international conference on very large & hellip ; ,",2004.0,automated design of multi-dimensional clustering tables in relational databases,"s lightstone , b bhattacharjee"
12377,,1956.0,"very recently , an important book has discussed '' adversarial legalism , '' something similar to my idea","det alexis , ina democracy"
12378,,,"suite 300 , silver spring",s street
12379,"to appear ,",,understanding mcmc,"go roberts , rl tweedie"
12380,"& hellip ; from the samhsa employment intervention demonstration & hellip ; ,",,the promise of vocational rehabilitation,ja cook
12381,"european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0,the erato programme - wind tunnel test results and proof of design for an aeroacoustically optimised,"wr splettstoesser , b van der wall , b junker , kj"
12382,"phil . mag ,",,"lock , and muirhead",f cameriniâ ? ¦
12383,,,"physics of high bootstrap fraction , high performance plasmas on the diii-d tokamak","mr wade , tc luce , jr ferron , pa politzer , dp"
12384,"& hellip ; , 2001 . proceedings . 17th international conference on ,",2001.0,similarity search without tears : the omni-family of all-purpose access methods,"rfs filho , a traina , c traina jr , c faloutsos"
12385,"unpublished manuscript ,",2001.0,measuring herding and exaggeration by equity analysts and other opinion sellers,e zitzewitz
12386,"acm sigplan notices ,",1981.0,the y programming language,dr hanson
12387,"the academy of management journal ,",1997.0,the importance of collaborative know-how : an empirical test of the learning organization,bl simonin
12388,"unpublished manuscript ,",,effects of emotional abuse against men in intimate relationships,"da hines , k malley-morrison"
12389,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,estimation of raindrop axial ratios using orthogonally mounted 2 d pms precipitation probes during,"v chandrasekar , vn bringi , j vivekanandan"
12390,"proceedings of the international conference on very large & hellip ; ,",1996.0,querying a multilevel database : a logical analysis,f cuppens
12391,proc . int . conf .,,strict identifiability of multichannel fir systems : further results and developments,"k abed-meraim , y hua"
12392,"ibm almaden research report ,",,"a model for backup , archive and restore-a proposal to x/open .","dm choy , a saxena"
12393,,,pedestrian detection in infrared images,"m bertozzi , a broggi , m meinecke"
12394,"new directions for higher education ,",1992.0,education for the information age,ps breivik
12395,,,the l-index : an indexing structure for efficient subsequence matching in time sequence databases,"y morinaka , m yoshikawa , t amagasa , s uemura"
12396,,,"digital light processing tm for high-brightness , high-resolution applications",lj hornbeck
12397,"phil . mag ,",,the migration of inert gases in ionic crystals,"mj norgett , ab lidiard"
12398,,1995.0,effects of variation in soil heating during fire on patterns of plant establishment and regrowth in,dc odion
12399,"cochrane database syst rev ,",2002.0,endometrial destruction techniques for heavy menstrual bleeding,"a lethaby , m hickey"
12400,"proceedings of the 23rd international conference on & hellip ; ,",,business-to-business electronic marketplaces : a strategic archetypes approach,"c soh , ml markus"
12401,"cochrane database syst rev ,",2003.0,low molecular weight heparins versus unfractionated heparin for acute coronary syndromes,"kd magee , w sevcik , d moher , bh rowe"
12402,"microsoft programming series ,",1996.0,"inside microsoft visual basic , scripting edition",s hillier
12403,"middle east technical university ,",,"public-private employment choice , wage differentials and gender in turkey , processed , ankara :",a tansel
12404,"computerworld ,",,no more middlemen .,t hoffman
12405,"proceedings of the fourth annual acm symposium on theory of & hellip ; ,",1972.0,time bounded random access machines,"sa cook , ra reckhow"
12406,"mit/lcs/tr -397 . imit laboratory for computer science , cambridge ,",,boston comnmnity information system 1986 erperimenfal test results,dk giffordâ ? ¦
12407,"san diego ,",,hetero diels-alder methodology in organic synthesis academic press,"dl boger , sm weinreb"
12408,"proceedings of the 1996 ieee/acm international conference on & hellip ; ,",1997.0,"intranets and eda : impact , application , and technology","d ku , j rowson"
12409,proceedings of the eighth acm international conference on,,reliable network connections,"vc zandy , bp miller"
12410,"new directions for higher education ,",1983.0,computer-supported information systems .,wh mayhew
12411,"new directions for teaching and learning ,",1996.0,teaching academies : honoring and promoting teaching through a community of expertise .,nvn chism
12412,"proceedings of the usenix windows nt workshop ,",1997.0,the rtx real-time subsystem for windows nt,"b carpenter , m roman , n vasilatos , m zimmerman"
12413,,1992.0,the scramble for africa,t pakenham
12414,"virology-new york - ,",1994.0,demonstration of in vitro infection of chimpanzee hepatocytes with hepatitis c virus using strand -,"re lanford , c sureau , jr jacob , r white"
12415,"ieee , proceedings ,",1979.0,toward the realization of intelligent controls,gn saridis
12416,"cochrane database syst rev ,",2001.0,"endotracheal intubation at birth for preventing morbidity and mortality in vigorous , meconium -",hl halliday
12417,,,identification of linear time-invariant systems from frequency-response data corrupted by bounded,"g gu , p misra"
12418,,,"symbolics , xerox offer enhanced ai workstation .",e bender
12419,,,subdivision schemes for fluid flow,"h weimer , j warren"
12420,"acm sigmod record ,",1994.0,source acm sigmod record archive,"rt snodgrass , m winslett"
12421,"proceedings of the eleventh acm international conference on & hellip ; ,",2003.0,programming portable optimized multimedia applications,"jc rojas , m leeser"
12422,proceedings of the acm international conference on,,experiences with building middleware for audio and visual networked home appliances on commodity,t nakajima
12423,"the histochemical journal ,",1992.0,quantification of the cellular proliferation on freshly dispersed cells from rat anterior,"s carbajo , f gonzalez del pozo , e carbajo-perez"
12424,,2000.0,a study to describe uw-stout campus network,mh huang
12425,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0,incremental logic synthesis through gate logic structure identification,"t shinsha , t kubo , y sakataya , j koshishita , k"
12426,,,a multimedia presentation algebra,"s adal , ml sapino , vs subrahmanian"
12427,"proceedings of ime ,",,a failure of ehd lubrication of circumferentially ground disk,a dyson
12428,"submitted for publication ,",2001.0,large-eddy simulation of a blu-body ow on unstructured grids,"s camarri , mv salvetti , b koobus , a dervieux"
12429,,2001.0,sql server 2000 performance tuning : technical reference,e whalenâ ? ¦
12430,"new directions for adult and continuing education ,",2000.0,professional development for web-based teaching : overcoming innocence and resistance,gm gallant
12431,,,english text : reply to faustus the manichaean . translated by r. stothert,cf manichaeum
12432,"cochrane database syst rev ,",2000.0,induction of labour for suspected fetal macrosomia,"o irion , m boulvain"
12433,proceedings of the acm sigmod conference on the management,,a high performance mapped object store,"sj white , dos dewitt"
12434,,,the postsynaptic spectrin/4 .1 membrane protein '' accumulation machine '',"aj baines , l keating , gw phillips , c scott"
12435,"proc . iee ,",,natural frequencies of stators of small electric machines,"aj ellison , sj yang"
12436,,,hons ( at least 8 months spent in a spanish-speaking country ),y spanish
12437,"journal of emergency medicine ,",1995.0,emphysematous cystitis presenting as painless gross hematuria,"j davidson , cv pollack"
12438,,1982.0,gauge theories as a problem of constructive quantum field theory and statistical mechanics,e seiler
12439,"data mining and knowledge discovery ,",2000.0,informix under control : online query processing,"jm hellerstein , r avnur , v raman"
12440,proc . acm,,a comparative study of arbitration algorithms for the alpha 21364 router pipelined router,"s mukherjee , f silla , p bannon , j emer , s lang , d"
12441,"proceedings of internation conference on vldbâ ?? 99 ,",,andj . c. freytag . quality-driven integration of heterogenous information sources,"f naumann , u leser"
12442,"mcloughlin , d and c horan , proceedings of the 15 thannual & hellip ; ,",,the imp1b projectâ ?? abstract for special session,p naude
12443,proc . vldb ( sep. .,,"others , schema and database evolution in the o 2 object database system","f ferrandina , t meyer , r zicari"
12444,"proceedings of the acm-sigmod international conference on & hellip ; ,",,"d. schneider , '' a performance analysis of the gamma database machine , ''","d dewitt , s ghandeharizadeh"
12445,,,impact of river basin management on the baltic sea : ecological and economical implications of,"g schernewski , t neumann"
12446,"new directions for teaching and learning ,",1989.0,issues in ita training programs .,"dl sequeira , m costantino"
12447,,,low-rate tcp-targeted denial of service attacks,"a kuzmanovic , ew knightly"
12448,"at ap ,",,cilindrical patch antenna for wireless communication,"z sipus , n herscovici"
12449,"computerworld. ,",1982.0,mis group regains end user 's confidence .,j bartimo
12450,"electronic design ,",,control video timing with an antifuse array,r cooley
12451,submitted for,,dynamic composition of parametrized logic programs,"a brogi , c renso , f turini"
12452,,1998.0,free parallel data mining,b li
12453,,,dimension-exchange algorithms for load balancing on trees,"me houle , a symvonis , dr wood"
12454,,,"leakage management techniques , technology and training",j report
12455,"the vldb journal the international journal on very large & hellip ; ,",1997.0,a configurable type hierarchy index for oodb,"ta mueck , ml polaschek"
12456,"proceedings of the 23rd symposium on naval ship & hellip ; ,",,the numerical simulation of ship waves using cartesian grid methods,"m sussman , d dommermuth"
12457,,1971.0,recombinational analysis of the rr duplication in maize,hk dooner
12458,"acm sigchi bulletin ,",1989.0,constraint grammarsâ ?? a new model for specifying graphical applications,bt zanden
12459,"transplantation proceedings ,",1998.0,ischemia reperfusion injury and chronic allograft rejection,"a szabo , u heemann"
12460,"see ref ,",,cuticle formation in vitro,"ep marks , ba sowa"
12461,"cochrane database syst rev ,",2004.0,topical ointment for preventing infection in preterm infants,"jm conner , rf soll , wh edwards"
12462,"journal of personality and social psychology ,",1994.0,"depression , working models of others , and relationship functioning","kb carnelley , pr pietromonaco , k jaffe"
12463,proceedings of acm,,dynamics of early detection,"d lin , r morris"
12464,"proceedings of the international conference on very large & hellip ; ,",2001.0,comparing hybrid peer-to-peer systems,"b yang , h garcia-molina"
12465,"md ,",,mental health services administration . results from the 2001 national household survey on drug abuse,s abuse
12466,,,integrating a structured-text retrieval system with an object-oriented database system,"tw yantt , j annevelinkt"
12467,"information and software technology ,",1996.0,"australian managers ' perceptions , attitudes and use of information technology","gj o'brien , wd wilde"
12468,"new directions for higher education ,",1979.0,developing and applying useful financial indicators .,df finn
12469,"blood-new york - ,",1999.0,role of natural killer cell alloreactivity in hla-mismatched hematopoietic stem cell transplantation,"l ruggeri , m capanni , m casucci , i volpi , a tosti ,"
12470,"proceedings of the 31st international conference on very & hellip ; ,",2005.0,answering imprecise queries over web databases,"u nambiar , s kambhampati"
12471,,,consistency in transcription and labelling of german intonation with gtobi,"m grice , m reyelt , j mayer , a batliner"
12472,"acm trans database syst ,",,m. interval hierarchies and their applicauon to predicate files,"kc wong , ad edelaerg"
12473,"slovak university of technology ,",,proc . of the sixth east-european conference on advances in databases and information systems adbis,"sa stupnikov , la kalinichenko , d jin song"
12474,,1972.0,crooked beak of heaven,b holm
12475,"submitted for publication ,",,a new tcp congestion control with empty queues and scalable stability,"f paganini , sh low"
12476,"microsoft corporation , technical report msr-tr-98-71 , march",,a flexible new technique for camera calibration [ r ] . microsoft research,z zhang
12477,,,the energy efficiency of iram architectures,"r from , s perissakis , n cardwell , c kozyrakis , b"
12478,"proc acm-sigmod intern . conf on the management of data , & hellip ; ,",,a complete axtomauzauon for functional and multtvalued dependencies,"c beeri , r fagin , js howard"
12479,"proc . int . semantic web conf ,",,learning to attach semantic metadata to web services,"n kushmerick , a heã ?"
12480,,2000.0,athe returns to school quality : college choice and earnings,w strayer
12481,"sigmod record ,",1999.0,cost estimation of user-defined methods in object-relational database systems,j boulos
12482,"proc . 28th eps conference on controlled fusion and plasma & hellip ; ,",,radiofrequency driven ion flows in a magnetized plasma,"c marchetto , f califano , m lontano"
12483,,1997.0,"coloured petri nets : basic concepts , analysis methods and practical use",k jensen
12484,"md ,",,"in nist chemistry webbook , nist standard reference database number 69 ; linstrom , pj ; mallard , wg (","hy afeefy , jf liebman , se stein"
12485,"sigmod record ,",1993.0,database research at the data-intensive systems center,"d maier , l delcambre , c pu , j walpole , g graefe ,"
12486,"information & software technology ,",2000.0,implementation of an efficient requirements-analysis supporting system using similarity measure,"s park , h kim , y ko , j seo"
12487,"journal of the acm ( jacm ) ,",1978.0,asynchronous iterative methods for multiprocessors,gm baudet
12488,"computer networks ,",2004.0,modeling correlations in web traces and implications for designing replacement policies,"k psounis , a zhu , b prabhakar , r motwani"
12489,,2004.0,macro-op scheduling and execution,i kim
12490,"& hellip ; general meeting abstracts with programs , seattle , washington & hellip ; ,",,"ecological consequences of shallow-water hydrothermal venting along the el requesã ³ n fault zone ,","mj forrest , a melwani"
12491,,,"adaptive push-pull of dynamic web data : better resiliency , scalability and coherency","p deolasee , a katkar , a panchbudhe , k ramamritham ,"
12492,,,a view of coroutines,d grune
12493,"new directions for program evaluation ,",1983.0,the occupational role of the evaluation research manager,ra dentler
12494,,,three-dimensional modelling and rendering of the human skeletal trunk from 2d radiographic images,"s delorme , y petit , ja de guise , cã ? aubin , h"
12495,"rept . xxiiird . int . geol . congr . czechoslovakia , procs .",,crustal studies around the canary islands,"bp dash , e bosshard"
12496,"diabetologia ,",1990.0,raised temperature reduces the incidence of diabetes in the nod mouse,"ajk williams , j krug , ef lampeter , k mansfield , pe"
12497,,2004.0,a functional calculus description for real interpolation spaces of sectorial operators,m haase
12498,,1983.0,preliminary argus reference manual . program . methodol . group memo 39,b liskovâ ? ¦
12499,proceedings of the 1993 acm sigmod international conference,,the 007 benchmark,"mj carey , dj dewitt , jf naughton"
12500,"unpublished manuscript ,",,things i have seen and heard : an interview for young children about exposure to violence,"je richters , p martinez"
12501,,1989.0,oi arxaâ $ oi ã?ellhnew sthn neoellhnikã ? parã # dosh,i kakridã?w
12502,"a further demonstration of phi movement cerebral dominance , '' & hellip ; ,",,"automatic apparatus vision 87 88 thomas 47 . carter , db","hr blackwell , bs prltchard , jg ohmart"
12503,"sigmod record ,",1994.0,metadata for multimedia documents,"k bshm , tc rakow"
12504,proc .,,performance of an iterative reconstruction algorithm for near infrared absorption and scatter,"sr arridge , m schweiger , m hiraoka , dt delpy"
12505,"proceedings of the 1996 acm sigmod international conference & hellip ; ,",1996.0,dbsim : a simulation tool for predicting database performance,"m lefler , m stokrp , c wong"
12506,,1990.0,microbial and enzymatic degradation of wood and wood components,"ke eriksson , ra blanchette , p ander"
12507,"electronic publishing ,",,design by example,"a bruggemann-klein , s hermann"
12508,"demonstration presented at the eighth international workshop & hellip ; ,",,the modelexplainer,"b lavoie , o rambow , e reiter"
12509,"social studies and the young learner ,",1994.0,the study of world war ii . pull-out feature i.,"me haas , jk tipton"
12510,vol . i technical,,motorcycle accident cause factors and identification of countermeasures,"hh hurt , jv ouellet , dr thom"
12511,"md ,",,"the third text retrieval conference ( trec-3 ) , gaithersburg",dk harman
12512,"sigmod record ,",1988.0,a note on minimal covers,j atkins
12513,"communications-acm ,",1999.0,connecting the design of software to the design of work,"ka butler , c esposito , r hebron"
12514,,,projet animã © par le cript du groupe des ecoles telecom,c du moulin
12515,academy of,,"discovering all most specific sentences by randomized algorithms extended abstractâ '' , rapport , 1997","d gunopulos , h manila , s saluja"
12516,"phil . mag ,",,the natural radioactivity of lutetium,"d dixon , a mcnair , sc curran"
12517,"vldb ,",1985.0,concurrency control in b + - trees databases using preparatory operations,"y mond , y raz"
12518,"cochrane database syst rev ,",2001.0,spinal immobilisation for trauma patients,"i kwan , f bunn , i roberts"
12519,"unpublished manuscript ,",,understanding knowledge creation and expertise through an instance based model of knowledge,"md ` eredita , c barreto"
12520,"journal of emergency medicine ,",1999.0,"residency-trained emergency physicians : their demographics , practice evolution , and attrition from","kn hall , ma wakeman"
12521,submitted for,,role of genotypic analysis of thymidine kinase gene of herpes simplex virus for determination of,"ny lee , yw tang , mj espy , cp kolbert , pn rys , ps"
12522,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,multi-level annotation of natural scenes using dominant image components and semantic concepts,"j fan , y gao , h luo"
12523,"proc . 29th annu . conv . am . assoc. bovine pract. , am . assoc. & hellip ; ,",,practical application of mun analysis,aj nelson
12524,"electronic markets ,",1998.0,electronic contracting in online stock trading,s dasgupta
12525,"see ref ,",,solar photovoltaics,g boyle
12526,"cochrane database syst rev ,",2000.0,mecamylamine ( a nicotine antagonist ) for smoking cessation,"t lancaster , lf stead"
12527,"proceedings of acm workshop on perceptive user interfaces ( & hellip ; ,",2001.0,"visual panel : virtual mouse , keyboard and 3d controller with an ordinary piece of paper","z zhang , y wu , y shan , s shafer"
12528,,1991.0,computing curricula 1991 : report of the acm/ieee-cs joint curriculum task force,ab tucker
12529,,1999.0,penalized multivariate logistic regression with a large data set,f gao
12530,"new directions for teaching and learning ,",1998.0,why talk about different ways to grade ? the shift from traditional assessment to alternative,rs anderson
12531,submitted for,,tests of branch splitting and branch-splitting independence in allais paradoxes,mh birnbaum
12532,,,virtual organizations : two choice problems,portal.acm.org
12533,"lecture notes in computer science ,",1995.0,model-checking for real-time systems,"kg larsen , p pettersson , w yi"
12534,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,"krypton 4 p , 4 s and 3 d partial photoionization cross sections below 260 ev photon energy ( abstract","j tulkki , s aksela , h aksela , y furusawa , a"
12535,,1997.0,"application of antenna arrays to mobile communications , part ii : beam-forming and direction-of -",lc godara
12536,,2002.0,product development : an infrastructure for engagement,"g jonathan , p john , pd personas"
12537,,,melodic clustering : motivic analysis of schumannâ ?? s trã $ umerei,"e cambouropoulos , g widmer"
12538,"phil . mag ,",,laplace trans-form solution of two-medium neutron aging problem,"r bellman , re marshak , gm wing"
12539,"prepared by calypso consulting , seattle , washington ,",,"a rare plant survey of the lake chelan project area-final , lake chelan hydroelectric project no. 637",pud chelan
12540,"new directions for adult and continuing education ,",2002.0,editorsâ ?? notes,"l yorks , e kasl"
12541,,,clustering via matrix powering,"h zhou , d woodruff"
12542,unpublished,,periodic solutions of the thermostat problem,j pr0ss
12543,,,"les motek , high degree word : mother lodge , bordeaux : mother scottish lodge",s mystã ¨ res
12544,"journal of emergency medicine ,",2001.0,rupture of a previously normal spleen in association with enoxaparin : an unusual cause of shock,"md burg , jj dallara"
12545,"cochrane database syst rev ,",2003.0,tricyclic and related drugs for nocturnal enuresis in children,"cm glazener , jh evans"
12546,,1978.0,the popular medicine of crete,e fragaki
12547,,,algorithmic mechanism design,"n nisan , a ronen"
12548,,,another look at a model for evaluating interface aesthetics,"dcl ngo , jg byrne"
12549,"procs . ieee intelligent vehicles symposium ,",,infrared stereo vision-based human shape detection,"m bertozzi , a broggi , md rose , a lasagni"
12550,"proceedings of sigcomm ,",,rcbr : a simple and efficient service for multiple time-scale trac,"m grossglauser , s keshav , d tse"
12551,"neuropsychopharmacology-san diego - ,",1993.0,a genetic linkage study of bipolar disorder and 13 markers on chromosome 11 including the d ~ 2,"jr kelsoe , h kristbjanarson , p bergesch , p"
12552,"readings of the sts roundtable , seattle , washington , october ,",,what in the world is the matter with systems thinking ? a critique of modern systems theory and the,la fitzgerald
12553,"san diego , ca ,",,the natural history of larval mosquito habitats : academic press,m laird
12554,,1997.0,efficient modelling and performance simulation of neural associative memory networks,g athithan
12555,"proceedings of the 14th acm international conference on & hellip ; ,",2005.0,regularizing ad hoc retrieval scores,f diaz
12556,"electronic telegraph ,",,ministerâ ?? s warning over internet porn,r uhlig
